x,y,title,player,population,alliance,tribe,uid,aid,did
57,-100,Village 00 Orcos,Orcos,722,P.A.,Teutons,1857,160,46206
72,124,Village Мироновка,Gospodin,722,TARTR,Romans,10296,79,52224
8,-68,Village 01,KB9,721,PA,Gauls,1855,43,25832
11,-136,Village Ricruz3,Ricruz3,721,NKF,Romans,9199,65,50911
126,-39,Village 1. A,Salvaje,721,Tribe Teutons,Teutons,8784,,50244
-51,200,Village 2. Cap,hobo,720,W!LDS,Romans,905,39,58178
0,-187,Village 02. PamPamculete!,Bad Penguins,720,PA,Teutons,89,43,74608
73,-144,Village New village,Reincidentes,720,Tribe Romans,Romans,214,,64972
-28,47,Village I,lorrie_engine,719,SSQ2,Gauls,941,206,21044
112,48,Village Aldeia do DeviLioN,DeviLioN,718,H2R,Teutons,7301,91,47717
40,3,Village 02. Quick,painkillerke,717,HZR,Romans,380,1,17731
67,41,Village 01,Archon,717,HZR,Romans,1914,1,31395
-113,-68,Village I - Winterfell,Louis,716,AO,Romans,8726,84,50160
63,24,Village 01. Lagertha,Kronos-post,716,DEUS,Teutons,1772,50,25909
-148,106,Village Meleque_00,Meleque,714,W!LDS,Teutons,16733,39,59773
86,4,Village Karesi,ecihan,714,LS,Romans,3476,117,35013
21,-91,Village 0X VAMOS DIOS,Pingu Macho,713,P.A.,Teutons,4081,160,38796
68,86,Village Cinta Alpha,Ghibran,713,AO,Gauls,5317,84,44928
-25,138,Village Kimba`s village,Kimba,712,Tribe Teutons,Teutons,9796,,51612
159,-113,Village 01,UnNingüino,712,P.A.,Gauls,2042,160,60825
82,29,Village Ivy the Terrible,Kizunaai,711,DEUS,Romans,3528,50,35337
29,31,Village A,Nemesis,710,CZ&SK,Gauls,498,77,17960
60,1,Village Lord Jakeyy,Raticate,710,HZR,Teutons,100,1,22558
-91,-61,Village 01.PioNgyang,PioPio,709,AO,Gauls,5931,84,45052
22,-46,Village A01.ZENA FUDBALERA,16 and pregnant,707,P.A,Romans,776,61,20027
69,58,Village Mr.Wolf,Mr.Wolf,707,HZR2,Gauls,3816,92,37113
-86,-42,Village 1.Start,sirmatto,706,NKF,Teutons,4423,65,40577
-69,-133,Village Feast,Treasurehunter,705,AO,Gauls,259,84,57295
-33,134,Village BURBERO,BURBERO,704,KB-1,Gauls,9511,172,51275
-112,-137,Village Pilsner Urquell,Žalud,703,czsk,Gauls,2111,49,60780
-8,62,Village IronEmperor`s village,IronEmperor,703,SSQ,Gauls,1653,14,24682
48,-56,Village 0,AISI316,703,P.A.,Gauls,1644,160,28929
-100,14,Village ████████████████,T800,702,W!LDS,Romans,394,39,42057
22,39,Village Aldea de SynysterOils,SynysterOils,702,HZR,Teutons,647,1,18427
-38,-46,Village TrueTeuton´s Dorp,TrueTeuton,701,NKF-A,Romans,1438,152,23119
-3,2,Village 06 Rudeusinho,Pingu Satisfyer,701,P.A,Gauls,316,61,69173
37,62,Village Sofia,koko12345,701,HZR2,Gauls,2309,92,28797
153,57,Village 01,IMeanPlug,701,HZR2,Romans,13411,92,55785
0,-188,Village 01. Pingu,Bad Penguins,700,PA,Teutons,89,43,60452
8,-31,Village 03. EGGS,Bad Penguins,700,PA,Teutons,89,43,17360
171,9,Village 01,Corey Taylor,700,P.A.,Teutons,2820,160,57898
-87,117,Village 01-Roma,Nagi,699,W!LDS,Romans,10702,39,52690
-30,-131,Village 1. Plzeň,Hightower,699,Ua,Gauls,8981,151,50634
88,56,Village 01.Бу! испугался?,Бабайка,699,TARTR,Gauls,1784,79,43322
-90,70,Village 01,Markkamarkku,698,W!LDS,Gauls,6323,39,45895
-26,-149,Village СТИХИЯ ВЕТРА,petr,698,IV-th,Teutons,11509,181,53672
144,46,Village Tauro,lobato10,698,D.H.,Gauls,11469,5,53631
-27,20,Village Деревня Droil,Droil,696,KB,Gauls,336,53,17660
-102,-30,Village 01. Ankara,Tengri,695,TR,Teutons,5480,28,44133
-88,-102,Village 00,TR_BOSS,695,TR,Teutons,86,28,60108
-48,-9,Village Pierwsza,MartineS,694,NKF,Romans,1079,65,20440
13,-54,Village Domovina,ondra,694,dudu,Gauls,997,62,20071
37,-37,Village 01,Albaroo,694,P.A.,Gauls,889,160,19559
73,-50,Village 01,Kowalsky,694,PA,Gauls,3543,43,36450
119,-120,Village 00 Salsa & Salsa,Pingu Macho,693,P.A.,Teutons,4081,160,60482
107,-57,Village Градът на trol,trol,692,Tribe Romans,Romans,7313,,47758
-140,-56,Village 00,Miudiño,691,Tribe Gauls,Gauls,11564,,53733
-86,90,Village Villaggio di vince51,vince51,691,B&B™,Gauls,7575,197,48261
146,-40,Village Таа II,GALACTUS,691,TRY,Romans,1118,183,66100
80,86,Village ST22,TheBiggestIssue,690,H2R,Gauls,6720,91,46511
-198,-21,Village 2)biyne,crazys,689,TR,Gauls,4831,28,66200
20,-137,Village The Art of War,Dejwczek,689,LS,Gauls,9491,117,51255
39,150,Village Outlaw,Outlaw,689,H2R,Romans,12164,91,54345
126,13,Village Edoras,Weeman,689,Rohan,Gauls,7923,119,48801
84,-30,Village Greed,DuckKrek,687,TRY,Gauls,2230,183,36665
112,-128,Village 01 K&D,K&D,685,P.A.,Gauls,3829,160,58069
-6,-43,Village ETH,TR_Abdülhamid,684,TR,Romans,142,28,58906
130,26,Village 1,who,684,LS,Teutons,5703,117,50195
62,149,Village .1,Vaukdalle,683,DEUS,Gauls,13127,50,55452
-91,-104,Village Yes,Ahru,681,NKF,Gauls,9555,65,51324
18,53,Village 02,Puritan,681,CZ&SK,Romans,1521,77,63869
-75,-64,Village 00 Cherry coke,Cherokee,680,AO,Teutons,3916,84,59152
40,81,Village Yenisey,Bayazıt,680,TUR,Romans,3716,57,37414
193,-82,Village Aldea nueva,Pingui Shepo,680,P.A.,Gauls,389,160,66463
21,-33,Village holy Köyü,holy,679,TR,Gauls,466,28,17894
56,100,Village 01. Malbec,SUN TZU,679,HZR,Teutons,6510,1,46164
73,36,Village Spyke 01,Spyke,679,Rohan,Romans,3022,119,32646
83,-181,Village Macholandia,Meu Macho,679,PA,Teutons,658,43,60386
84,21,Village EVE,Sucellosamoelle,679,DEUS,Gauls,3520,50,35260
164,-34,Village Tchigevaria,Marroder,679,Tribe Gauls,Gauls,14219,,56835
181,87,Village Rajgród,Spaniard,679,HZR,Gauls,3434,1,60500
-48,18,Village 01 Kattegat,Renne,678,W!LDS,Romans,343,39,20029
-31,54,Village 02 Pana,panasoft,678,DEUS,Gauls,1594,50,24239
-57,-17,Village Deniz,Deniz,677,TR,Gauls,1557,28,24016
-38,76,Village 01 Yaiba,Yaiba,677,SSQ,Romans,3605,14,36340
-5,50,Village ASTERIX,Dannutry,677,HZR2,Gauls,1138,92,20783
-51,-14,Village BlackTemple,Maverick,676,NKF,Gauls,1111,65,20595
12,-111,Village První,Eros,676,dudu,Romans,6081,62,45402
127,0,Village Erebor,OneTrueMorty,676,Rohan,Gauls,7924,119,48804
59,-74,Village Géronimo,Tithor,675,dudu,Gauls,4280,62,39941
-19,52,Village 1,kliuska,674,LTU,Teutons,1262,15,64763
60,-24,Village Rome Alone,Cim,674,dudu,Romans,2051,62,26981
-90,-54,Village 00 - Cheap Date,Lowcost,673,AO,Gauls,5360,84,43893
-65,49,Village 01 − Praven,Jeremus,673,W!LDS,Romans,992,39,32442
186,-43,Village R de Mariposa,Mariposa,673,P.A.,Teutons,2865,160,60910
-159,-40,Village 2,getflame,671,AO,Gauls,1735,84,65134
-85,99,Village ARTRYRIA,KingArtrias,671,TUR,Romans,8396,57,49562
-47,-103,Village [01],One Man Army,671,AO,Romans,5578,84,45760
-96,-88,Village A02 Core Enforcer,powerclub,670,AO,Teutons,590,84,71707
-36,-132,Village -00-,Python,670,AO2,Romans,9345,168,51088
-62,-30,Village 01,Primus0,669,NKF,Romans,2149,65,27780
-30,-14,Village Maija un Paija,Exupery,669,I.P,Gauls,527,3,18041
77,46,Village Ithaqua,Oté,669,dudus,Romans,3839,214,37241
-14,-27,Village Cuda`s village,Cuda,668,TUCW,Gauls,20,94,17291
60,62,Village 00 - Que le début,ArèsNoFakes,668,DEUS,Romans,3509,50,35229
186,172,Village N’1,Nainhinet,668,A-P,Teutons,25542,397,70846
-61,4,Village FS,joskin,666,KB,Teutons,2240,53,28308
34,74,Village 03 - τρία - MCFC,Martin,666,CZ&SK,Gauls,3003,77,32751
-53,2,Village Radek1,Radek,665,Tribe Gauls,Gauls,752,,68143
-40,17,Village Alex81,Alex81,665,HZR2,Gauls,725,92,18793
-33,79,Village 01 Agripa,Oxmand,665,SSQ2,Romans,3539,206,35400
35,-14,Village s01,Spenceru,665,D.H.,Gauls,326,5,17644
109,100,Village Стол и дом,Pocomax,665,TARTR,Gauls,9360,79,61991
-123,-188,Village Courage,Treasurehunter,664,AO,Gauls,259,84,70761
-18,-91,Village $1,PimpfS,664,AO,Gauls,4051,84,38476
57,-80,Village Gauw!!´s Dorp,Gauw!!,664,Hi2.0,Romans,4638,432,41517
115,-53,Village Lukynovo,LukynoCZE,664,LS,Romans,8088,117,49071
56,53,Village Rietavas,Zhaismas,663,LTU,Gauls,2528,15,30677
73,-143,Village Aldea nueva,charlie,663,PA,Teutons,110,43,58813
69,-44,Village 001,STP,663,LS,Gauls,3210,117,33604
-194,60,Village 00 Hawk,Pico,662,W!LDS,Gauls,515,39,60942
5,-62,Village 00,PuflitoAntártic,662,PA,Romans,254,43,23484
9,111,Village Umit,Umit,662,100%,Romans,5997,562,45225
29,67,Village 01,2n3h,662,HZR,Teutons,2440,1,29498
34,30,Village [01] Legio Suprema,DrMorte92,662,HZR,Romans,952,1,19870
98,-44,Village Bienvux,pastoutcomprix,662,DEUS,Gauls,5606,50,44376
-59,-76,Village Papa Smurf,Smurf,661,AO,Gauls,4396,84,40495
-33,-53,Village 1.0,xXx,661,AO,Gauls,1741,84,25830
14,-46,Village 0.0 Inicio,Pinwenes,661,PA,Gauls,275,43,18614
36,-50,Village Alexanderplatz,Nesu78,661,QoQ,Gauls,1475,10,23396
-102,-36,Village Cosanostra77`s village,Cosanostra77,660,TR,Teutons,5709,28,44642
-94,-22,Village Invicta,PronDriver13,660,NKF-A,Romans,4566,152,41270
28,-116,Village 301,dimitris,660,Tribe Gauls,Gauls,6947,,46793
44,-89,Village QkTaYy Köyü,QkTaYy,660,Turan,Teutons,4760,105,41884
70,-91,Village 03 Ramiro Diplomisio,Pingu Satisfyer,660,P.A,Gauls,316,61,70070
90,91,Village Vesnice: Luky1v,Luky1v,660,CHL,Gauls,8176,462,49287
92,108,Village Sporting,Abeelhas,659,H2R2,Romans,10130,186,52048
-124,57,Village 000,Santa,658,W!LDS,Gauls,879,39,61255
-22,-127,Village První,Kratas_,658,czsk,Romans,8308,49,49460
-13,-162,Village .,Badabum,658,IV-th,Gauls,13376,181,55708
58,-34,Village Bielsko-Biała,Focus23_3,658,TRY,Gauls,759,183,26119
70,-72,Village 01| Y&Liam^^,NaThoS&LokitaS,658,P.A,Gauls,4769,61,42070
16,134,Village Wong 1,Wong,657,H2R,Gauls,9145,91,50846
33,24,Village Yess`s village,Yess,657,Hi,Romans,442,41,17846
197,146,Village 02,Corey Taylor,657,P.A.,Teutons,2820,160,71825
-100,0,Village 00,Wolis,656,AO,Gauls,1836,84,41791
-82,103,Village WHYNOT,WHYNOT,656,TUR,Gauls,8659,57,50083
-67,-62,Village 01 Dorf von Cherokee,Cherokee,656,AO,Teutons,3916,84,37689
34,-3,Village 01-,PinguiShenLong,656,P.A.,Teutons,202,160,17481
110,-20,Village 1,Cuipa,656,LS,Gauls,6201,117,45702
-92,31,Village 1. Barracks,Toto2026,655,W!LDS,Teutons,4382,39,40432
-17,-44,Village 00 BANOFEE,Galetor,655,AO,Romans,435,84,18902
-7,119,Village BIANCO 01,ztl69,655,NKF,Gauls,6953,65,46805
26,-31,Village DaniDar Grad,DaniDar,655,D.H.,Gauls,661,5,18497
-125,-29,Village 001,Tassara,654,NKF-B,Romans,8203,173,49340
22,-130,Village AbbasUstaoğlu,AbbasUstaoğlu,654,Aga,Romans,8688,560,50118
44,14,Village ⚽,Mineralinis,654,LTU,Romans,220,15,65583
64,-52,Village 01 Echando humoooooo,PinguGoat,654,P.A.,Teutons,57,160,33098
109,33,Village 01,Caesar201,654,TUR,Romans,6271,57,45825
144,187,Village 04,Emperor Penguin,654,PA,Romans,995,43,72692
-185,4,Village ████████████████,T800,653,W!LDS,Romans,394,39,59168
-103,48,Village Invernalia,Wajoh10,653,KB,Romans,6312,53,45881
37,-22,Village NobelScout`s village,NobelScout,653,D.H.,Romans,552,5,18114
67,32,Village Archon,Archonome,653,TUR,Romans,2246,57,29244
-11,72,Village Ι,Lefos,652,SSQ3,Gauls,2400,282,29225
17,84,Village NAZE,Athe-naze,652,DEUS,Teutons,3513,50,35242
52,-132,Village Enitsirk,Enitsirk,652,AC33,Gauls,10197,251,52116
54,-70,Village ReadyForBombinos,Lukas,652,dudus,Gauls,3645,214,36283
68,-179,Village Vesnice: Bouke,Bouke,652,BB,Romans,18591,170,62152
105,98,Village 01,otpravitel,652,TARTR,Gauls,9281,79,52368
164,-168,Village 02 AhnQiraj,Pingu Brutality,652,P.A.,Gauls,2177,160,70029
-5,-34,Village Питово Стара Столица,pikoibonboni,651,AO2,Romans,187,168,17466
57,27,Village Xaw,xaw,651,HZR,Romans,94,1,24474
-12,-118,Village Betoven,Betoven,650,AO2,Gauls,6941,168,46781
51,-149,Village Beast Cavern,Pipo,650,PA,Teutons,10346,43,64628
72,-38,Village Latina,Latina,650,P.A,Romans,2787,61,32974
104,0,Village 01,Azael,650,LS,Romans,5167,117,43125
122,-97,Village 00,Pingu Garcia,650,P.A.,Teutons,2538,160,60567
-75,-2,Village 01,Franke,649,NKF,Gauls,2570,65,30193
-67,-47,Village Opal,Windar1,649,NKF,Romans,3138,65,33214
-53,68,Village ---,Amazing,649,KB,Teutons,3588,53,35844
-52,-77,Village Breki,Breki,649,AO,Romans,4098,84,38671
-22,-78,Village Singidunum,GeneralMandicus,649,AO2,Romans,3182,168,33381
43,-33,Village 01,Ataraxia,649,P.A,Teutons,161,61,19730
53,108,Village قرية خرابيش,خرابيش,649,H2R,Romans,7094,91,47158
89,104,Village Берлога,Pocomax,649,TARTR,Gauls,9360,79,51150
-104,10,Village Tavern 1 ias,riksha,648,OIG,Romans,5110,131,42852
-40,-18,Village Wolfratshausen,Bavarian,648,TR_,Teutons,732,268,18829
-34,63,Village The Bakery,Bakerclan,648,SSQ2,Romans,2277,206,28599
-18,-36,Village PINK,JEEP,648,I.P,Gauls,371,3,17717
3,-42,Village Village de wiwix,wiwix,648,Tribe Gauls,Gauls,537,,18069
39,33,Village II. Prima Aurora,Grinndalf,648,CZ&SK,Romans,970,77,19966
65,-189,Village [01] FAKE,Its fake,648,PA,Romans,1815,43,60078
111,-50,Village Zizam 01,Zizam,648,LS,Gauls,7424,117,47958
-166,-84,Village KeM,KontrolKem,647,Tribe Romans,Romans,17635,,60964
-112,8,Village spawn,roar,647,W!LDS,Teutons,97,39,45294
-42,90,Village bangbang/sostinė,bangbang,647,Tribe Gauls,Gauls,4607,,41613
-2,3,Village 02 Chaleco Prosti,Pingu Satisfyer,647,P.A,Gauls,316,61,57498
-139,31,Village Khelya,mark1,645,W!LDS,Gauls,10010,39,51922
-56,110,Village pinas,pinas,645,KB-1,Gauls,7467,172,48058
-17,-1,Village Aldea Musical,Lzo & Stark,645,P.A,Teutons,1190,61,58803
3,32,Village Деревня VseNaKon,VseNaKon,645,Hi2.0,Gauls,372,432,17718
9,-46,Village 00.,pinguivaca,645,P.A,Gauls,675,61,18545
112,26,Village Bulbasaur,MaoDah,645,ADV,Romans,6406,87,45996
-117,13,Village 00,roar,644,W!LDS,Teutons,97,39,57494
104,61,Village Ratte 01,Rattenfänger,644,HZR,Romans,1611,1,62077
173,-121,Village 04,TriTrasTres,644,P.A.,Romans,788,160,72978
-76,-39,Village 01 - Tel Nof,SomeOne,643,czsk,Romans,3328,49,34157
-72,26,Village Manetheren,Mediocre Eoin,643,SSQ,Romans,2780,14,31261
-36,-110,Village Maradonna,Kuhlinho,643,AO,Teutons,6575,84,46265
-102,-16,Village 1,kul,642,NKF,Gauls,5182,65,43184
26,-166,Village Bazurea,ClownHeishi,642,PA,Gauls,13555,43,69905
65,-124,Village kentas/sostinė,kentas,642,QoQ,Gauls,9902,10,51740
179,52,Village #01#,stiawoscha,642,TURCO,Romans,17498,322,60791
11,99,Village Golly,Golly,641,HZR2,Romans,4803,92,41992
57,4,Village I,Shadow,641,LS,Romans,1227,117,21285
-67,-93,Village 01 Alabama,Suolaaja19,640,NKF,Romans,6535,65,46213
200,-96,Village Oroborus,Molok,640,PA,Gauls,204,43,72601
-96,-84,Village Silent hill,Yaourt,639,AO,Romans,1148,84,49294
-62,46,Village 01,Entropy,639,SSQ2,Romans,2826,206,31524
-33,42,Village 1,F-GT,639,SSQ2,Romans,1456,206,23233
2,48,Village [1],VilZori,639,HZR,Gauls,627,1,19246
21,38,Village 00 Sukom,Sukom,639,HZR,Teutons,644,1,18421
22,20,Village Dorex,Dorex,639,APEX,Gauls,146,90,17825
39,13,Village Praha,Cargos,639,Rohan,Gauls,607,119,18317
101,57,Village Деревня Антихряк,Антихряк,639,TARTR,Gauls,6601,79,46302
-161,-114,Village dinamitas/sostinė,dinamitas,638,AO2,Gauls,19819,168,63787
-104,30,Village Orion,Mavros,638,W!LDS,Teutons,239,39,44286
-41,22,Village Axa80,Axa80,638,HZR,Teutons,803,1,19161
-40,27,Village dronez`s village,dronez,638,-R-,Gauls,793,431,19101
22,-42,Village 00,Fabi,638,P.A,Romans,672,61,18539
26,58,Village Clapa 00,Clapa,638,HZR,Gauls,1727,1,64599
15,11,Village Rome,Gato,637,HZR,Romans,17,1,59399
19,162,Village 01 Stains,MCToinou,637,H2R,Romans,13454,91,55853
40,-182,Village Nostalgia,Tiny,637,Tribe Romans,Romans,17552,,60869
9,-118,Village BABAYARRO,BABAYARRO,636,Aga,Romans,6818,560,46636
-103,29,Village 01,fincher,635,AGGA,Romans,5527,153,44195
-56,-90,Village EMRE MERKEZ,FairShield,635,AO2,Romans,5459,168,44091
11,79,Village Valmar,Thranduil,635,TUR,Gauls,3292,57,33964
29,54,Village 90 Základní,Jura,635,CZ&SK,Gauls,1518,77,23760
45,69,Village 01,DR STU,635,HZR,Gauls,3384,1,34460
51,-60,Village - Pinwino -,Pingüinakis,635,P.A.,Gauls,2751,160,31468
53,19,Village Bilemedim Köyü,Bilemedim,635,Hi2.0,Gauls,1196,432,21078
114,-47,Village Serdika,guvito,635,LS,Romans,7553,117,48235
-109,-40,Village 99,Mr_Sleepy,634,NKF,Gauls,6646,65,46398
-43,-13,Village Vesnice: Radek,Radek,634,Tribe Gauls,Gauls,752,,18922
-17,164,Village 3а4,3а4,634,SSQ3,Gauls,13762,282,56289
29,-44,Village FoxyCze`s village,FoxyCze,634,BB,Teutons,729,170,20638
75,8,Village OSIRIS,inzzaner,634,LS,Romans,2609,117,30382
-120,1,Village QRG,Goldemon,633,GAUL,Gauls,6955,209,46810
7,83,Village Thisismail Köyü,Thisismail,633,TUR,Teutons,3299,57,34005
-76,0,Village KırmızıKara,kadrak,632,KB,Romans,2740,53,30988
5,37,Village Pestininkas,Pestininkas,632,Tribe Gauls,Gauls,269,,17571
55,-128,Village Villaggio di GGINOMOSTWANTED,GGINOMOSTWANTED,632,dudu,Romans,9740,62,51540
-103,-129,Village FP,OneShot,631,AO2,Teutons,13821,168,56365
-35,26,Village GERNY 01,Gerny,631,SSQ,Romans,583,14,18227
-33,34,Village I,Aviles,631,HZR2,Romans,857,92,19453
31,111,Village Movie 1,Movie,631,HZR,Romans,6382,1,46190
44,12,Village DARKY,Darky,631,HZR,Gauls,654,1,18464
60,-107,Village hoho,hoho,631,P.A.,Romans,3532,160,48102
70,126,Village ...,Gospodin,631,TARTR,Romans,10296,79,65793
-157,10,Village PALA,PALA,630,K.B,Teutons,12332,357,54544
-92,-119,Village 00,Jentak,630,czsk,Gauls,3256,49,59060
-54,104,Village T100,Rimkrt,630,W!LDS,Romans,6704,39,46494
-2,-60,Village YalıÇapkını,kızılkum,630,TR_,Gauls,1448,268,23200
45,-8,Village 00. Oppai - おっぱい,gorthank,630,D.H.,Romans,624,5,18365
-102,123,Village 01,Div3rsantas,629,W!LDS,Gauls,13566,39,70769
-97,-88,Village A01 Need for Speed,powerclub,629,AO,Teutons,590,84,56924
-22,20,Village samo711..,samo711,629,W!LDS,Gauls,179,39,17457
23,51,Village ShavePipes`s village,ShavePipes,629,P.A,Romans,1232,61,21306
88,-56,Village DE 01,Dark Egyptian,629,dudu,Romans,5272,62,43663
-39,39,Village 1_D,by_beddua,628,NKF,Gauls,1273,65,21547
-4,109,Village 01. Castellar,Vergara10,628,CBC,Romans,5767,235,44760
17,28,Village A lil Angry-Yeah,Khampa21,628,HZR,Romans,801,1,19152
52,-44,Village 000 BLACK HOLE,BIG YoY,628,QoQ,Romans,2073,10,27686
173,-137,Village 03,Triple Emperor,628,P.A.,Teutons,2742,160,73180
-168,-144,Village ΞVΞ 亗,Hi!,627,czsk,Teutons,2963,49,65074
-88,26,Village Roma,Caesar,627,W!LDS,Romans,896,39,60657
-80,51,Village jambra-.CRO 1,jambra-.CRO,627,SGDR,Teutons,4180,48,39225
-41,18,Village OBELIX,Sr.Pedra,627,HZR2,Gauls,760,92,18945
-34,-138,Village [001]Reii,Reii,627,IV-th,Teutons,10159,181,52077
116,-114,Village 02 Ñam ñam,Pingu Macho,627,P.A.,Teutons,4081,160,70814
-73,-42,Village Ancona,Robson,626,czsk,Gauls,192,49,33907
-39,-37,Village Nubas`s village,Nubas,626,NKF,Teutons,1135,65,20760
20,-39,Village Karabulut,TR_KaRa,626,TR,Gauls,575,28,18198
36,-64,Village Senate,Senator,626,QoQ,Romans,1491,10,28558
57,-41,Village Eternitatea,gravedigger,626,dudu,Gauls,2065,62,27078
82,-192,Village 00 - Las Noches,Lord Ares,626,PA,Romans,2951,43,60390
108,-74,Village [01],Topalow,626,Tribe Gauls,Gauls,8634,,50050
159,-158,Village 05. Skipper,Bad Penguins,626,PA,Teutons,89,43,73173
-100,117,Village Flying brick,Wise_Fox,625,SSQ2,Gauls,11952,206,54127
