x,y,title,player,population,alliance,tribe,uid,aid,did
-17,-31,Village 01. Nyawit Nih Org,Hope,727,NKF,Romans,234,65,17525
-185,-180,Village 04. Kowalsky,Bad Penguins,725,PA,Teutons,89,43,72006
-20,-93,Village Gutturnio,Sboccio,725,AO,Romans,4252,84,39902
-116,14,Village 01,roar,723,W!LDS,Teutons,97,39,73069
-135,-51,Village A,Bill,722,Tribe Gauls,Gauls,7576,,52413
0,-187,Village 02. PamPamculete!,Bad Penguins,720,PA,Teutons,89,43,74608
-51,200,Village 2. Cap,hobo,719,W!LDS,Romans,905,39,58178
-28,47,Village I,lorrie_engine,718,SSQ2,Gauls,941,206,21044
8,-68,Village 01,KB9,718,PA,Gauls,1855,43,25832
-113,-68,Village I - Winterfell,Louis,716,AO,Romans,8726,84,50160
-148,106,Village Meleque_00,Meleque,714,W!LDS,Teutons,16733,39,59773
11,-136,Village Ricruz3,Ricruz3,713,NKF,Romans,9199,65,50911
21,-91,Village 0X VAMOS DIOS,Pingu Macho,713,P.A.,Teutons,4081,160,38796
-25,138,Village Kimba`s village,Kimba,712,Tribe Teutons,Teutons,9796,,51612
29,31,Village A,Nemesis,710,CZ&SK,Gauls,498,77,17960
-91,-61,Village 01.PioNgyang,PioPio,707,AO,Gauls,5931,84,45052
22,-46,Village A01.ZENA FUDBALERA,16 and pregnant,707,P.A,Romans,776,61,20027
-86,-42,Village 1.Start,sirmatto,706,NKF,Teutons,4423,65,40577
-69,-133,Village Feast,Treasurehunter,704,AO,Gauls,259,84,57295
-33,134,Village BURBERO,BURBERO,704,KB-1,Gauls,9511,172,51275
-100,14,Village ████████████████,T800,702,W!LDS,Romans,394,39,42057
-8,62,Village IronEmperor`s village,IronEmperor,702,SSQ,Gauls,1653,14,24682
22,39,Village Aldea de SynysterOils,SynysterOils,702,HZR,Teutons,647,1,18427
-38,-46,Village TrueTeuton´s Dorp,TrueTeuton,701,NKF-A,Romans,1438,152,23119
-3,2,Village 06 Rudeusinho,Pingu Satisfyer,701,P.A,Gauls,316,61,69173
0,-188,Village 01. Pingu,Bad Penguins,700,PA,Teutons,89,43,60452
8,-31,Village 03. EGGS,Bad Penguins,700,PA,Teutons,89,43,17360
-30,-131,Village 1. Plzeň,Hightower,699,Ua,Gauls,8981,151,50634
-112,-137,Village Pilsner Urquell,Žalud,697,czsk,Gauls,2111,49,60780
-90,70,Village 01,Markkamarkku,697,W!LDS,Gauls,6323,39,45895
-87,117,Village 01-Roma,Nagi,696,W!LDS,Romans,10702,39,52690
-102,-30,Village 01. Ankara,Tengri,695,TR,Teutons,5480,28,44133
-88,-102,Village 00,TR_BOSS,695,TR,Teutons,86,28,60108
-26,-149,Village СТИХИЯ ВЕТРА,petr,695,IV-th,Teutons,11509,181,53672
-48,-9,Village Pierwsza,MartineS,694,NKF,Romans,1079,65,20440
-27,20,Village Деревня Droil,Droil,692,KB,Gauls,336,53,17660
13,-54,Village Domovina,ondra,692,dudu,Gauls,997,62,20071
-140,-56,Village 00,Miudiño,691,Tribe Gauls,Gauls,11564,,53733
-86,90,Village Villaggio di vince51,vince51,691,B&B™,Gauls,7575,197,48261
-198,-21,Village 2)biyne,crazys,689,TR,Gauls,4831,28,66200
20,-137,Village The Art of War,Dejwczek,687,LS,Gauls,9491,117,51255
-6,-43,Village ETH,TR_Abdülhamid,684,TR,Romans,142,28,58906
-91,-104,Village Yes,Ahru,681,NKF,Gauls,9555,65,51324
-75,-64,Village 00 Cherry coke,Cherokee,680,AO,Teutons,3916,84,59152
21,-33,Village holy Köyü,holy,679,TR,Gauls,466,28,17894
18,53,Village 02,Puritan,679,CZ&SK,Romans,1521,77,63869
-31,54,Village 02 Pana,panasoft,678,DEUS,Gauls,1594,50,24239
-57,-17,Village Deniz,Deniz,677,TR,Gauls,1557,28,24016
-38,76,Village 01 Yaiba,Yaiba,677,SSQ,Romans,3605,14,36340
-5,50,Village ASTERIX,Dannutry,677,HZR2,Gauls,1138,92,20783
-51,-14,Village BlackTemple,Maverick,676,NKF,Gauls,1111,65,20595
-48,18,Village 01 Kattegat,Renne,676,W!LDS,Romans,343,39,20029
12,-111,Village První,Eros,676,dudu,Romans,6081,62,45402
-90,-54,Village 00 - Cheap Date,Lowcost,673,AO,Gauls,5360,84,43893
-19,52,Village 1,kliuska,672,LTU,Teutons,1262,15,64763
-159,-40,Village 2,getflame,671,AO,Gauls,1735,84,65134
-85,99,Village ARTRYRIA,KingArtrias,671,TUR,Romans,8396,57,49562
-65,49,Village 01 − Praven,Jeremus,671,W!LDS,Romans,992,39,32442
-47,-103,Village [01],One Man Army,671,AO,Romans,5578,84,45760
-96,-88,Village A02 Core Enforcer,powerclub,670,AO,Teutons,590,84,71707
-62,-30,Village 01,Primus0,669,NKF,Romans,2149,65,27780
-30,-14,Village Maija un Paija,Exupery,669,I.P,Gauls,527,3,18041
-14,-27,Village Cuda`s village,Cuda,668,TUCW,Gauls,20,94,17291
-61,4,Village FS,joskin,666,KB,Teutons,2240,53,28308
34,74,Village 03 - τρία - MCFC,Martin,666,CZ&SK,Gauls,3003,77,32751
-40,17,Village Alex81,Alex81,665,HZR2,Gauls,725,92,18793
-36,-132,Village -00-,Python,664,AO2,Romans,9345,168,51088
-18,-91,Village $1,PimpfS,664,AO,Gauls,4051,84,38476
-33,79,Village 01 Agripa,Oxmand,663,SSQ2,Romans,3539,206,35400
-194,60,Village 00 Hawk,Pico,662,W!LDS,Gauls,515,39,60942
34,30,Village [01] Legio Suprema,DrMorte92,662,HZR,Romans,952,1,19870
-123,-188,Village Courage,Treasurehunter,661,AO,Gauls,259,84,70761
-53,2,Village Radek1,Radek,661,Tribe Gauls,Gauls,752,,68143
-33,-53,Village 1.0,xXx,661,AO,Gauls,1741,84,25830
14,-46,Village 0.0 Inicio,Pinwenes,661,PA,Gauls,275,43,18614
35,-14,Village s01,Spenceru,661,D.H.,Gauls,326,5,17644
29,67,Village 01,2n3h,661,HZR,Teutons,2440,1,29498
-102,-36,Village Cosanostra77`s village,Cosanostra77,660,TR,Teutons,5709,28,44642
9,111,Village Umit,Umit,660,100%,Romans,5997,562,45225
28,-116,Village 301,dimitris,660,Tribe Gauls,Gauls,6947,,46793
-59,-76,Village Papa Smurf,Smurf,659,AO,Gauls,4396,84,40495
5,-62,Village 00,PuflitoAntártic,659,PA,Romans,254,43,23484
-124,57,Village 000,Santa,658,W!LDS,Gauls,879,39,61255
-94,-22,Village Invicta,PronDriver13,658,NKF-A,Romans,4566,152,41270
-13,-162,Village .,Badabum,658,IV-th,Gauls,13376,181,55708
197,146,Village 02,Corey Taylor,657,P.A.,Teutons,2820,160,71825
16,134,Village Wong 1,Wong,657,H2R,Gauls,9145,91,50846
33,24,Village Yess`s village,Yess,657,Hi,Romans,442,41,17846
-67,-62,Village 01 Dorf von Cherokee,Cherokee,656,AO,Teutons,3916,84,37689
-22,-127,Village První,Kratas_,655,czsk,Romans,8308,49,49460
-17,-44,Village 00 BANOFEE,Galetor,655,AO,Romans,435,84,18902
-125,-29,Village 001,Tassara,654,NKF-B,Romans,8203,173,49340
-7,119,Village BIANCO 01,ztl69,654,NKF,Gauls,6953,65,46805
-185,4,Village ████████████████,T800,653,W!LDS,Romans,394,39,59168
-103,48,Village Invernalia,Wajoh10,653,KB,Romans,6312,53,45881
22,-130,Village AbbasUstaoğlu,AbbasUstaoğlu,653,Aga,Romans,8688,560,50118
-100,0,Village 00,Wolis,652,AO,Gauls,1836,84,41791
-92,31,Village 1. Barracks,Toto2026,652,W!LDS,Teutons,4382,39,40432
-82,103,Village WHYNOT,WHYNOT,652,TUR,Gauls,8659,57,50083
-11,72,Village Ι,Lefos,652,SSQ3,Gauls,2400,282,29225
17,84,Village NAZE,Athe-naze,652,DEUS,Teutons,3513,50,35242
34,-3,Village 01-,PinguiShenLong,652,P.A.,Teutons,202,160,17481
-5,-34,Village Питово Стара Столица,pikoibonboni,651,AO2,Romans,187,168,17466
-12,-118,Village Betoven,Betoven,650,AO2,Gauls,6941,168,46781
-53,68,Village ---,Amazing,649,KB,Teutons,3588,53,35844
-22,-78,Village Singidunum,GeneralMandicus,649,AO2,Romans,3182,168,33381
-104,10,Village Tavern 1 ias,riksha,648,OIG,Romans,5110,131,42852
-40,-18,Village Wolfratshausen,Bavarian,648,TR_,Teutons,732,268,18829
-34,63,Village The Bakery,Bakerclan,648,SSQ2,Romans,2277,206,28599
3,-42,Village Village de wiwix,wiwix,648,Tribe Gauls,Gauls,537,,18069
26,-31,Village DaniDar Grad,DaniDar,648,D.H.,Gauls,661,5,18497
-67,-47,Village Opal,Windar1,647,NKF,Romans,3138,65,33214
-52,-77,Village Breki,Breki,647,AO,Romans,4098,84,38671
-75,-2,Village 01,Franke,646,NKF,Gauls,2570,65,30193
-166,-84,Village KeM,KontrolKem,645,Tribe Romans,Romans,17635,,60964
-112,8,Village spawn,roar,645,W!LDS,Teutons,97,39,45294
-56,110,Village pinas,pinas,645,KB-1,Gauls,7467,172,48058
-17,-1,Village Aldea Musical,Lzo & Stark,645,P.A,Teutons,1190,61,58803
-2,3,Village 02 Chaleco Prosti,Pingu Satisfyer,645,P.A,Gauls,316,61,57498
3,32,Village Деревня VseNaKon,VseNaKon,645,Hi2.0,Gauls,372,432,17718
9,-46,Village 00.,pinguivaca,645,P.A,Gauls,675,61,18545
-117,13,Village 00,roar,644,W!LDS,Teutons,97,39,57494
-42,90,Village bangbang/sostinė,bangbang,644,Tribe Gauls,Gauls,4607,,41613
-18,-36,Village PINK,JEEP,644,I.P,Gauls,371,3,17717
-76,-39,Village 01 - Tel Nof,SomeOne,643,czsk,Romans,3328,49,34157
-72,26,Village Manetheren,Mediocre Eoin,643,SSQ,Romans,2780,14,31261
-36,-110,Village Maradonna,Kuhlinho,643,AO,Teutons,6575,84,46265
-102,-16,Village 1,kul,642,NKF,Gauls,5182,65,43184
26,-166,Village Bazurea,ClownHeishi,642,PA,Gauls,13555,43,69905
-139,31,Village Khelya,mark1,641,W!LDS,Gauls,10010,39,51922
-67,-93,Village 01 Alabama,Suolaaja19,640,NKF,Romans,6535,65,46213
-96,-84,Village Silent hill,Yaourt,639,AO,Romans,1148,84,49294
-62,46,Village 01,Entropy,639,SSQ2,Romans,2826,206,31524
-33,42,Village 1,F-GT,639,SSQ2,Romans,1456,206,23233
11,99,Village Golly,Golly,639,HZR2,Romans,4803,92,41992
22,20,Village Dorex,Dorex,639,APEX,Gauls,146,90,17825
21,38,Village 00 Sukom,Sukom,639,HZR,Teutons,644,1,18421
200,-96,Village Oroborus,Molok,638,PA,Gauls,204,43,72601
-161,-114,Village dinamitas/sostinė,dinamitas,638,AO2,Gauls,19819,168,63787
-104,30,Village Orion,Mavros,638,W!LDS,Teutons,239,39,44286
-41,22,Village Axa80,Axa80,638,HZR,Teutons,803,1,19161
-40,27,Village dronez`s village,dronez,638,-R-,Gauls,793,431,19101
22,-42,Village 00,Fabi,638,P.A,Romans,672,61,18539
26,58,Village Clapa 00,Clapa,638,HZR,Gauls,1727,1,64599
2,48,Village [1],VilZori,637,HZR,Gauls,627,1,19246
15,11,Village Rome,Gato,637,HZR,Romans,17,1,59399
19,162,Village 01 Stains,MCToinou,637,H2R,Romans,13454,91,55853
9,-118,Village BABAYARRO,BABAYARRO,636,Aga,Romans,6818,560,46636
-103,29,Village 01,fincher,635,AGGA,Romans,5527,153,44195
-56,-90,Village EMRE MERKEZ,FairShield,635,AO2,Romans,5459,168,44091
11,79,Village Valmar,Thranduil,635,TUR,Gauls,3292,57,33964
29,54,Village 90 Základní,Jura,635,CZ&SK,Gauls,1518,77,23760
-109,-40,Village 99,Mr_Sleepy,634,NKF,Gauls,6646,65,46398
-43,-13,Village Vesnice: Radek,Radek,634,Tribe Gauls,Gauls,752,,18922
29,-44,Village FoxyCze`s village,FoxyCze,634,BB,Teutons,729,170,20638
7,83,Village Thisismail Köyü,Thisismail,633,TUR,Teutons,3299,57,34005
-17,164,Village 3а4,3а4,632,SSQ3,Gauls,13762,282,56289
5,37,Village Pestininkas,Pestininkas,632,Tribe Gauls,Gauls,269,,17571
-35,26,Village GERNY 01,Gerny,631,SSQ,Romans,583,14,18227
-33,34,Village I,Aviles,631,HZR2,Romans,857,92,19453
31,111,Village Movie 1,Movie,631,HZR,Romans,6382,1,46190
-157,10,Village PALA,PALA,630,K.B,Teutons,12332,357,54544
-120,1,Village QRG,Goldemon,630,GAUL,Gauls,6955,209,46810
-92,-119,Village 00,Jentak,630,czsk,Gauls,3256,49,59060
-54,104,Village T100,Rimkrt,630,W!LDS,Romans,6704,39,46494
-2,-60,Village YalıÇapkını,kızılkum,630,TR_,Gauls,1448,268,23200
-76,0,Village KırmızıKara,kadrak,629,KB,Romans,2740,53,30988
-22,20,Village samo711..,samo711,629,W!LDS,Gauls,179,39,17457
23,51,Village ShavePipes`s village,ShavePipes,629,P.A,Romans,1232,61,21306
-103,-129,Village FP,OneShot,628,AO2,Teutons,13821,168,56365
-97,-88,Village A01 Need for Speed,powerclub,628,AO,Teutons,590,84,56924
-39,39,Village 1_D,by_beddua,628,NKF,Gauls,1273,65,21547
-4,109,Village 01. Castellar,Vergara10,628,CBC,Romans,5767,235,44760
17,28,Village A lil Angry-Yeah,Khampa21,628,HZR,Romans,801,1,19152
-168,-144,Village ΞVΞ 亗,Hi!,627,czsk,Teutons,2963,49,65074
-102,123,Village 01,Div3rsantas,627,W!LDS,Gauls,13566,39,70769
-88,26,Village Roma,Caesar,627,W!LDS,Romans,896,39,60657
-80,51,Village jambra-.CRO 1,jambra-.CRO,627,SGDR,Teutons,4180,48,39225
-34,-138,Village [001]Reii,Reii,627,IV-th,Teutons,10159,181,52077
20,-39,Village Karabulut,TR_KaRa,626,TR,Gauls,575,28,18198
-118,40,Village 01 Pollux,Somnus,624,W!LDS,Teutons,7608,39,48335
-100,117,Village Flying brick,Wise_Fox,624,SSQ2,Gauls,11952,206,54127
-39,-37,Village Nubas`s village,Nubas,624,NKF,Teutons,1135,65,20760
-31,-12,Village TR_GöçmenAvcısı Köyü,TR_Gorilla,624,TR,Teutons,182,28,17461
-82,149,Village 00,samo711,623,W!LDS,Gauls,179,39,69307
-48,-1,Village Osada,Mr Pink,623,NKF,Gauls,902,65,19636
-40,-67,Village Longaticum,Ludvik,623,AO,Romans,2765,84,31125
-41,18,Village OBELIX,Sr.Pedra,623,HZR2,Gauls,760,92,18945
-90,196,Village 02 - Black Rhino,JXina,622,W!LDS,Gauls,189,39,69811
-76,12,Village 01.Gecekondu,BySiMoN,622,KB,Romans,2602,53,30352
-65,-88,Village MEBM,Alomszuszek,622,HUNok,Romans,5808,22,44829
-44,-30,Village Fearless Köyü,Fearless,622,TR,Gauls,1099,28,20514
-19,-29,Village #1 Ojsr33&#39;s 24th Feb,Ojsr33,622,I.P,Romans,384,3,17737
-94,-11,Village Pasajes,Blas de Lezo,621,NKF,Romans,4348,65,40277
-49,-57,Village NightMasterHUN-,NightMasterHUN,621,AO,Gauls,2560,84,30136
-28,19,Village B01,Duques,621,HZR,Gauls,765,1,19087
-28,30,Village Vanishing Point,mirela_olive,621,SSQ,Gauls,533,14,18060
31,-6,Village 00,Athelon,621,D.H.,Romans,424,5,17808
-90,60,Village GRZENIA,GRZENIA,620,AGGA,Gauls,5631,153,44417
13,-69,Village 01. Dark Creed,DarkSiders,620,P.A,Gauls,1934,61,28202
32,-102,Village Pycimięrzyczewice,ArthaDarek,620,P.A,Teutons,5329,61,44321
-131,-94,Village Osada: aadasek,aadasek,619,CU+AS,Teutons,13160,25,55485
-130,131,Village 05,Emperor Penguin,619,PA,Romans,995,43,73288
-92,-91,Village Authority,Authority,619,AO3,Teutons,8336,223,49496
-69,42,Village Moddi,Canos,619,SSQ2,Romans,3139,206,33217
-40,-31,Village Pietro1,PietroP,619,I.P,Teutons,949,3,20364
-43,190,Village I - Lion El&#39;Jonson,JohnHenryEden,619,W!LDS,Romans,19322,39,63142
-66,-73,Village 01,TR_BOSS,618,TR,Teutons,86,28,41375
-73,-42,Village Ancona,Robson,618,czsk,Gauls,192,49,33907
-58,-90,Village Last Man Standing,RabidKoala,618,AO,Romans,5562,84,44265
-40,-60,Village YellowRock,NightKing,618,TR,Gauls,2311,28,28809
-29,53,Village ant hill,Vikster,618,SSQ2,Gauls,1358,206,23451
-20,-104,Village 01_Pernštejn,Vylízanej_Pekáč,618,czsk,Gauls,1265,49,44042
-8,109,Village 1. N. Fuentes,TropadeElite,618,HZR2,Teutons,5768,92,44761
6,-58,Village 01 ¿TE IMAGINAS?,Doctor Nick,618,AO,Gauls,1085,84,20463
-106,36,Village ⚫THIS IS SPARTA⚫,HellenicPride,617,W!LDS,Teutons,1054,39,59846
-91,-59,Village Romanicus,Romanicus,617,Tribe Romans,Romans,5699,,44613
-46,-44,Village Ram,TR_NatarRamazan,617,TR,Gauls,280,28,25145
-41,-160,Village 00,Gamzeli,617,AO,Teutons,10927,84,65466
-44,-20,Village Norrss,Norton,617,I.P,Gauls,913,3,19694
-69,-63,Village 01 Muumilaakso,Saimon91,616,AO,Romans,4101,84,38700
-68,-41,Village ZZZ_1,Zephyr,616,NKF-A,Romans,1208,152,31774
-33,-123,Village M1_SK_Hranol,Kuko,615,czsk,Gauls,7944,49,48834
9,-134,Village 01,PuflitoAntártic,615,PA,Romans,254,43,60254
35,27,Village 01,Maestro,615,RGR,Romans,612,256,18327
-121,-21,Village Vila City,Acosta,614,NKF-B,Gauls,7535,173,48210
-75,69,Village Doppio,Doppio,614,SSQ,Teutons,4112,14,60777
-47,-72,Village 01-ICARDI,CANGSTER,614,TR,Gauls,3425,28,34743
35,-111,Village •KurasT•,Pingui Bow,614,P.A,Gauls,6636,61,46386
-148,-79,Village 2,Zeus,613,AO,Romans,3413,84,59779
-106,53,Village Vía Angusta,sunsito,613,KB,Romans,6926,53,46766
32,-16,Village 01.START,Sedium,613,HZR,Teutons,257,1,17555
-123,8,Village 01 Call me,Papacito,612,Tribe Gauls,Gauls,7359,,47818
-48,-132,Village Nubik,Nubik,612,dudus,Gauls,9823,214,51643
32,79,Village Thor-tue V1 (E),Thor-tue,612,DEUS,Romans,3596,50,35923
-101,67,Village N/A2,Zondor,610,W!LDS,Gauls,1161,39,71867
-34,-19,Village D1,SharpFriend,610,Tribe Gauls,Gauls,619,,18346
-29,18,Village #01 ECO,-AVENTUS-,610,HZR2,Romans,78,92,17349
-20,-33,Village 01Jobcenter,KeinGeld,610,I.P,Gauls,335,3,17657
-12,33,Village V01,ReggaeShark,610,SSQ2,Romans,508,206,17985
-116,-122,Village WINDY,SERT,609,AO3,Teutons,14325,223,56945
-50,-68,Village Velikiy`s village,Velikiy,609,OFF,Gauls,3263,9,33835
-16,42,Village FLORENCIA,Razzola69,609,HZR2,Gauls,674,92,18542
-24,169,Village Spawnium,SpiritBlue8,609,Tribe Romans,Romans,14811,,57509
-51,-46,Village 00-Hoppa,PapualoWe,608,KB,Romans,2123,53,27543
-26,-58,Village 1,getflame,608,AO,Gauls,1735,84,25258
-32,-63,Village Stadt 1,Marcurius,608,NKF,Romans,2197,65,28076
-23,100,Village Horus&#39;s Village,AkaHorus,608,RGR,Gauls,5101,256,42830
-7,-60,Village Mcfraggy’s landsby,Mcfraggy,608,I.P,Gauls,1050,3,23910
-134,-102,Village Teo’s WoW,burakyaldiz,607,TR,Teutons,14332,28,56952
-107,-59,Village Satul Templier 2,King_Arthur,607,NKF,Teutons,1821,65,64600
-108,-38,Village 01 COMO,Cesareimperator,607,NKF,Teutons,6401,65,45990
-84,117,Village Aragon,Blitti,607,SSQ2,Romans,10406,206,52336
-8,-82,Village 09,098serg,607,NKF,Romans,3483,65,65573
31,-27,Village Mordor,Černoch,607,D.H.,Teutons,483,5,17930
-82,-36,Village BY 01,10K,606,Tribe Gauls,Gauls,3834,,37221
-82,-14,Village Verna,Verna,606,NKF,Gauls,3197,65,33708
-194,38,Village 002,Paingiver,605,W!LDS,Romans,1091,39,61372
-116,-3,Village Vesnice: Danny_17,Danny_17,605,TB,Teutons,6660,83,46416
-81,-87,Village Burham,Robson,605,czsk,Gauls,192,49,61377
30,-94,Village raz007`s village,raz007,605,Tribe Gauls,Gauls,4679,,41647
-115,56,Village 02 Chidori,Renne,604,W!LDS,Romans,343,39,71721
-74,53,Village Athens,Çetinkaya,604,NKF,Romans,3863,65,37375
-25,62,Village 0. Zero,Spectrum,604,HZR,Romans,1952,1,26408
-17,-38,Village Rafa´s Dorp,Rafa,604,I.P,Romans,455,3,17878
-9,-103,Village JJM,JJM,604,AO,Romans,5074,84,42762
-4,78,Village Black Gold,Black Gold,604,Tribe Gauls,Gauls,2754,,31060
24,-101,Village 1,RedDino,604,NKF,Teutons,5254,65,43615
20,-84,Village 00,Toquinha,604,PA,Romans,1434,43,35355
-148,20,Village KOCAELİ,OĞUZLAR41,603,KB,Teutons,11078,53,53200
-10,-79,Village s1,HolyyCZ,603,czsk,Romans,3095,49,33003
23,90,Village 1. Ellz`s village,Ellz,603,HZR,Gauls,4103,1,38717
28,-129,Village Sava,Tamerlan,603,PA,Romans,8709,43,50143
-141,4,Village 1,xanxito,602,W!LDS,Romans,9846,39,51666
-84,-142,Village 00,kacak,602,AO2,Gauls,13816,168,56360
-69,-47,Village Madar,csabinho3,602,NKF-A,Gauls,3219,152,33633
-68,2,Village Viriato35 [0],Viriato35,602,KB,Gauls,1946,53,26377
-47,-140,Village Gamzeli Köyü,Gamzeli,602,AO,Teutons,10927,84,53171
-46,-91,Village BodaMor`s village,BodaMor,602,AO2,Romans,5002,168,42541
-13,-28,Village 00FreiZeit,KeineZeit,602,I.P,Romans,333,3,17655
-54,79,Village BONANZA Köyü,BONANZA,601,KB,Romans,4409,53,40536
29,-17,Village 1.La Foglia,Hokage,601,D.H.,Romans,183,5,17462
-195,-81,Village 04 Dale caña torete,PinguGoat,600,P.A.,Teutons,57,160,72770
-118,22,Village Yabanci Köyü,Yabanci,600,KB,Gauls,6836,53,46842
-98,132,Village Div3rsantas`s village,Div3rsantas,600,W!LDS,Gauls,13566,39,55971
-80,-134,Village Sacramento,Stihycz,600,DA,Teutons,12354,184,54566
-42,71,Village ONE,Jomane,600,Tribe Gauls,Gauls,3203,,33547
28,-24,Village 1-Armorike,Chrobo,600,D.H.,Gauls,471,5,17907
31,6,Village 00,Cze,600,HZR2,Gauls,250,92,58265
-145,-132,Village Butes - 01,Butes,599,Tribe Romans,Romans,19619,,63509
-75,-30,Village 01,Magnus,599,czsk,Romans,3278,49,34233
-67,19,Village hop !,bah!euh,599,SSQ2,Gauls,1837,206,27570
-1,-46,Village PAST EVOLUTION,FutureDAY,599,I.P,Teutons,596,3,18262
-4,32,Village Rusler,Rusler,599,HZR2,Teutons,52,92,17323
10,84,Village Escalope milanaise,Esculapededinde,599,DEUS,Romans,3515,50,35246
32,118,Village 01.,atheophobos,599,H2R,Gauls,7371,91,47839
198,-137,Village 01 Gondor,Orcos,598,P.A.,Teutons,1857,160,62427
-56,17,Village [01] Teletabbis,fpigna,598,SSQ,Romans,1534,14,23849
-52,20,Village Kaiser_Söse,Kaiser_Söse,598,NKF,Gauls,1286,65,21711
-36,67,Village Irriducibili,Irriducibili,598,KZL,Romans,2577,108,30218
-32,26,Village 1,LAKY,598,SSQ,Gauls,446,14,17854
-9,42,Village 1,Floky,598,TARTR,Romans,610,79,18324
-105,-120,Village Valley,Strizh,597,AO,Gauls,865,84,62510
-105,70,Village Fieldchurch,Rhenus&Albis,597,W!LDS,Teutons,7753,39,48497
-67,3,Village Granatapfel,kräuterstempel,597,SSQ2,Teutons,1861,206,25874
-43,-101,Village 01.Uğurcan Çakır,VO45,597,TR,Romans,5871,28,44923
-25,23,Village Satul lui Diuha,Diuha,597,NKF,Gauls,84,65,17355
-1,-82,Village 01. Lanoios,Matthewman,597,NKF,Romans,3144,65,33239
-185,181,Village 02,Cze,596,HZR2,Gauls,250,92,72418
-176,-14,Village kansanmurhaaja&#39;s vil,kansanmurhaaja,596,W!LDS,Teutons,15960,39,58898
-111,-92,Village 1. AF,Selkan,596,NKF,Teutons,10469,65,52401
-108,-36,Village 01,Kloxi,596,AO,Gauls,6402,84,45991
-80,7,Village 01,Mystique,596,SSQ,Gauls,2886,14,31914
-45,-190,Village Alexandria,Kryptex,596,IV-th,Romans,19338,181,63162
-53,52,Village 01 - D4,Alphazero,596,SSQ2,Romans,2470,206,29629
26,-171,Village kk,pellooja,596,AC33,Romans,15170,251,57893
-82,-99,Village THE KING,Duomo,595,AO2,Gauls,8332,168,49488
-83,-20,Village 01 Buldozer,Buldozer,595,czsk,Teutons,3270,49,34306
-2,-122,Village 00 Janis,Viruta,595,dudu,Romans,7288,62,47675
10,-58,Village Kicsike7`s village,Kucsike7,595,QoQ,Romans,1178,10,20982
22,34,Village 01 - ANEMOS,ANEMOS,595,HZR2,Teutons,494,92,17952
-129,27,Village TROY A,BLACKNIGHT94,594,OTELO,Romans,8615,112,50022
-79,-33,Village 01,Jentak,594,czsk,Gauls,3256,49,34784
-16,30,Village Haven,XAVO,594,SSQ2,Gauls,346,206,17673
